host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_encoded
1,1,1.0,1,1.0,1,0,1,1,124.0,1,0,2.0,3.0,1,2.5,3,2.3,30.0,1125,30.0,1125.0,1,41,65,310,0.0,0,5.0,4.86,5.0,5.0,5.0,5.0,4.86,1,0.07,102
1,1,1.0,0,1.0,1,1,0,1,145.0,1,0,16.0,19.0,1,1.0,3,4.0,2.0,60,2.0,1125.0,1,43,61,303,25.0,2,4.92,4.93,4.93,4.95,4.97,4.93,4.86,2,4.52,43
0,0,0.95,0,0.0,1,1,1,1,150.0,1,1,1.0,1.0,1,1.0,2,4.0,27.0,27,27.0,27.0,1,59,89,364,0.0,0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,1,2.1,97
1,1,1.0,1,1.0,1,1,1,1,153.0,1,1,2.0,3.0,0,1.0,1,2.0,1.0,14,1.0,14.0,1,44,74,341,67.0,5,4.86,4.89,4.89,4.96,4.91,4.96,4.79,1,4.22,177
0,1,1.0,0,1.0,1,1,0,1,125.0,1,0,1.0,1.0,0,1.0,2,2.0,3.0,730,3.0,730.0,0,6,36,259,22.0,1,4.81,4.88,4.96,4.94,4.9,4.82,4.85,1,2.28,250
0,1,1.0,0,1.0,1,1,1,1,425.0,1,0,1.0,1.0,1,3.5,5,2.3,3.0,10,3.0,10.0,0,8,8,8,1.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0.08,40
1,1,1.0,1,,1,1,1,1,314.0,1,0,1.0,1.0,1,2.0,4,2.3,2.0,365,2.0,1125.0,1,36,60,233,27.0,0,4.94,4.95,4.98,4.99,4.98,4.88,4.88,1,1.65,313
1,1,0.98,1,1.0,1,1,0,1,257.0,1,1,3.0,3.0,1,2.0,3,2.3,2.0,1125,2.0,1125.0,0,36,66,316,15.0,0,4.87,4.91,4.93,4.8,4.95,4.79,4.74,1,1.03,57
0,0,0.95,0,1.0,1,1,0,0,89.0,1,0,1.0,1.0,0,1.0,1,1.0,30.0,180,30.0,180.0,1,60,90,365,1.0,0,4.89,4.93,4.93,4.99,4.98,4.92,4.93,1,1.96,290
0,1,0.5,0,1.0,1,1,0,1,188.0,1,0,1.0,3.0,0,1.0,1,2.0,3.0,60,3.0,60.0,0,19,49,49,5.0,1,4.89,4.96,4.97,4.86,4.89,4.92,4.75,1,0.78,262
1,0,0.99,1,,1,1,0,1,81.0,1,1,6.1,8.6,0,1.0,1,2.0,30.0,365,30.0,1125.0,1,56,86,361,3.0,0,4.9,4.9,4.9,4.9,5.0,4.9,4.9,11,0.12,324
0,1,0.98,1,1.0,1,1,0,1,235.0,1,0,1.0,1.0,1,2.0,2,3.0,3.0,365,3.0,365.0,1,48,78,185,27.0,1,4.97,4.94,4.96,4.98,4.96,4.99,4.86,1,0.96,233
1,1,1.0,1,1.0,1,1,0,1,87.0,1,1,5.0,5.0,0,1.0,1,2.0,2.0,1125,2.5,1125.0,1,48,78,346,15.0,0,4.87,4.87,4.87,4.91,4.89,4.81,4.69,5,1.03,415
0,1,1.0,1,1.0,1,1,0,0,65.0,1,1,1.0,1.0,0,1.0,1,1.0,30.0,180,30.0,1125.0,1,60,84,146,4.0,0,4.93,4.97,4.93,4.97,4.97,4.94,4.89,1,2.24,383
1,1,1.0,1,1.0,1,1,0,1,150.0,1,0,1.0,2.0,1,2.5,3,4.0,1.0,1125,1.0,1125.0,1,36,62,303,36.0,1,4.97,4.98,4.99,4.98,4.99,4.92,4.91,1,2.31,62
1,1,1.0,1,1.0,1,1,0,1,258.0,1,1,4.0,4.0,1,2.0,3,3.0,3.0,1125,2.5,1125.0,1,35,43,267,16.0,2,4.98,4.99,4.97,4.99,4.99,4.92,4.84,4,1.43,67
1,1,0.96,1,0.0,1,1,0,1,182.0,1,0,1.0,2.0,0,1.0,2,2.0,1.0,7,1.0,1125.0,1,44,74,164,48.0,0,4.95,4.91,4.98,4.97,4.96,4.89,4.81,1,3.21,96
1,1,1.0,1,1.0,1,1,1,1,220.0,1,1,5.0,5.0,1,2.5,3,4.0,2.0,1125,2.5,1125.0,0,0,0,181,10.0,0,4.92,4.96,4.94,4.94,4.98,4.8,4.84,5,0.54,453
1,1,0.92,1,1.0,1,0,0,1,85.0,1,0,2.0,2.0,0,1.0,1,1.0,30.0,1125,30.0,1125.0,0,39,69,344,1.0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.71,2,0.11,251
1,0,0.99,1,,1,1,0,1,232.0,1,1,6.1,8.6,0,2.0,2,3.0,3.0,365,2.2,1125.0,1,39,39,95,4.0,0,4.9,4.97,4.94,5.0,4.94,5.0,4.9,11,0.35,344
1,1,1.0,1,1.0,1,1,0,1,149.0,1,0,1.0,1.0,0,1.0,1,1.0,3.0,14,3.0,1125.0,1,50,70,314,12.0,1,4.96,4.98,4.98,4.98,4.98,4.94,4.94,1,1.4,534
0,1,1.0,0,1.0,1,1,0,1,135.0,1,0,2.0,3.0,0,1.0,1,2.0,30.0,1125,30.0,1125.0,0,7,37,217,3.0,1,4.98,4.98,4.98,5.0,5.0,4.96,4.94,1,0.54,366
1,0,0.99,1,,1,1,0,1,99.0,1,1,6.1,8.6,0,2.0,3,4.0,30.0,365,30.0,1125.0,0,3,27,225,0.0,0,5.0,5.0,4.8,4.9,5.0,5.0,4.9,11,0.07,343
0,0,0.24,0,1.0,1,1,0,1,131.0,1,0,3.0,4.0,0,1.0,2,2.0,1.0,8,1.0,1125.0,0,43,73,73,15.6,5,4.89,4.93,4.89,4.98,4.95,4.88,4.77,3,1.8,421
